Date,Mkt-RF,SMB,HML,RF
-0--1-91--,-0.2,0.33,-0.33,0.02
-0--1-91--,0.57,-0.21,-0.13,0.02
-0--1-91--,-0.1,-0.42,-0.11,0.02
-0--1-91--,-0.54,-0.04,-0.28,0.02
-0--1-91--,-1.12,0.27,-0.32,0.02
-0--2-91--,-0.84,0.85,-0.27,0.02
-0--2-91--,0.48,0.01,0.07,0.02
-0--2-91--,0.02,-0.1,-0.29,0.02
-0--2-91--,-0.75,-0.05,0.06,0.02
-0--2-91--,0.39,-0.01,-0.32,0.02
-0--2-91--,-0.38,0.39,0.02,0.02
-0--2-91--,-0.26,0.54,0.27,0.02
-0--2-91--,0.38,-0.07,0.0,0.02
-0--0-91--,-0.18,0.55,0.19,0.02
-0--0-91--,1.77,-0.77,-0.53,0.02
-0--0-91--,1.13,-0.31,-0.05,0.02
-0--0-91--,0.64,-0.01,0.02,0.02
-0--0-91--,-0.51,0.25,0.03,0.02
-0--0-91--,-0.23,0.0,-0.04,0.02
-0--0-91--,0.06,0.48,0.09,0.02
-0--1-91--,-0.75,0.32,0.06,0.02
-0--1-91--,0.7,-0.09,-0.09,0.02
-0--1-91--,0.35,-0.2,-0.03,0.02
-0--1-91--,0.93,-0.44,-0.18,0.02
-0--1-91--,0.47,-0.14,-0.17,0.02
-0--1-91--,0.16,0.16,0.26,0.02
-0--1-91--,-0.93,0.18,0.44,0.02
-0--1-91--,-1.7,0.44,0.36,0.02
-0--2-91--,-1.63,0.13,-0.07,0.02
-0--2-91--,0.88,-0.47,-0.01,0.02
-0--2-91--,-0.25,0.21,0.1,0.02
-0--2-91--,-0.68,0.44,0.14,0.02
-0--2-91--,-0.13,-0.2,-0.12,0.02
-0--2-91--,-0.33,-0.1,0.13,0.02
-0--3-91--,0.84,-0.45,-0.09,0.02
-0--0-91--,0.93,-0.52,-0.19,0.02
-0--0-91--,0.07,0.28,0.04,0.02
-0--0-91--,-0.44,0.03,-0.15,0.02
-0--0-91--,0.08,0.04,0.16,0.02
-0--0-91--,0.16,0.3,0.16,0.02
-0--0-91--,-0.43,0.26,0.0,0.02
-0--0-91--,0.2,-0.07,-0.14,0.02
-0--1-91--,-0.29,0.24,0.2,0.02
-0--1-91--,-0.37,0.35,-0.11,0.02
-0--1-91--,-0.21,0.08,-0.15,0.02
-0--1-91--,-0.46,-0.3,0.23,0.02
-0--1-91--,0.15,-0.13,-0.05,0.02
